,number,value,datetime_start,datetime_complete,duration,params_1D_featurizer,params_1d_model,params_2d_model,params_C_passive_aggressive_regressor,params_activation_mlp_regressor,params_algorithm_kneighbors_regressor,params_alpha_mlp_regressor,params_alpha_quantile_regressor,params_attention_dropout_0,params_attention_dropout_1,params_attention_key_dim_0,params_attention_key_dim_1,params_base_estimator_bagging_regressor,params_base_filters,params_batch_normalization_0,params_batch_size_deepchem,params_batchnorm,params_bootstrap_bagging_regressor,params_bootstrap_extra_trees_regressor,params_bootstrap_features,params_bootstrap_random_forest_regressor,params_conv_activation_0,params_conv_activation_1,params_conv_batch_norm_0,params_conv_batch_norm_1,params_conv_dropout_0,params_conv_dropout_1,params_criterion_extra_trees_regressor,params_criterion_random_forest_regressor,params_dense_activation,params_dense_dropout,params_dense_layer_size,params_dense_units,params_depth_dmpnn,params_dropout,params_dropout_attentive_fp,params_dropout_dag,params_dropout_gcn,params_dropout_graph_conv,params_dropout_pagtn,params_dropout_text_cnn,params_dropouts_dtnn,params_dropouts_weave,params_embed_dropout_p,params_embedding_dim,params_embedding_output_dim,params_encoder_dropout_p,params_epochs_deepchem,params_f1,params_f2,params_feature_selector,params_featurizer_type,params_ff_dropout_p,params_filter_0,params_filter_1,params_filters,params_fnn_dropout_p,params_fnn_layers,params_fpSize,params_g_noise,params_gen_dropout_p,params_gen_n_layers,params_graph_conv_layers_conv_model,params_graph_conv_layers_gcn,params_graph_feat_size_attentive_fp,params_gru_dropout_0,params_gru_dropout_1,params_gru_dropout_2,params_gru_units_0,params_gru_units_1,params_gru_units_2,params_hidden_activation_0,params_hidden_dropout_0,params_hidden_layer_sizes_mlp_regressor,params_hidden_layer_units_0,params_k,params_kernel_size_0,params_kernel_size_1,params_kernel_size_smiles_to_vec,params_l1_0,params_l2_0,params_layer_sizes_dag,params_layer_sizes_gather,params_leaf_size_kneighbors_regressor,params_lstm_dropout_0,params_lstm_dropout_1,params_lstm_dropout_2,params_lstm_units_0,params_lstm_units_1,params_lstm_units_2,params_master_atom,params_maxLength,params_maxPath,params_max_features_extra_trees_regressor,params_max_features_random_forest_regressor,params_max_length_pagtn,params_max_path,params_method,params_minLength,params_minPath,params_min_path,params_model_steps,params_model_type,params_nBits,params_n_attention_heads,params_n_attention_layers,params_n_bits,params_n_conv_layers,params_n_embedding_dtnn,params_n_embedding_text_cnn,params_n_encoders,params_n_estimators,params_n_estimators_bagging_regressor,params_n_estimators_extra_trees_regressor,params_n_estimators_random_forest_regressor,params_n_graph_feat_dag,params_n_graph_feat_weave,params_n_gru_layers,params_n_hidden_dtnn,params_n_hidden_layers,params_n_hidden_weave,params_n_layers,params_n_lstm_layers,params_n_neighbors_kneighbors_regressor,params_n_rnn_layers,params_num_heads,params_num_layers_attentive_fp,params_num_layers_pagtn,params_p,params_percentile,params_predictor_dropout_gcn,params_quantile,params_radius,params_regression_model,params_rnn_dropouts_0,params_rnn_units_0,params_sa_dropout_p,params_scaler,params_standardization_type,params_standardize,params_standardizer,params_stride_0,params_stride_1,params_strides,params_support_weak,params_threshold,params_use_chirality_attentive_fp,params_use_chirality_gat,params_use_chirality_gcn,params_use_chirality_graph_conv,params_use_chirality_weave,params_use_edges_gat,params_use_edges_gcn,params_use_partial_charge_attentive_fp,params_use_partial_charge_gat,params_use_partial_charge_gcn,params_weights_kneighbors_regressor,state
10,10,0.31850087678905625,2024-02-27 06:27:41.877709,2024-02-27 06:57:38.427927,0 days 00:29:56.550218,,,,,,,,,,,,,,,,256.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text_cnn_model,deepchem,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pass_through_standardizer,,,,,,,,,,,,,,,,,COMPLETE
11,11,0.3271459730411147,2024-02-27 06:57:38.456027,2024-02-27 07:30:17.686824,0 days 00:32:39.230797,,,,,,,,,,,,,,,,256.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text_cnn_model,deepchem,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pass_through_standardizer,,,,,,,,,,,,,,,,,COMPLETE
12,12,0.3533118618388763,2024-02-27 07:30:17.708078,2024-02-27 08:14:02.358407,0 days 00:43:44.650329,,,,,,,,,,,,,,,,256.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text_cnn_model,deepchem,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pass_through_standardizer,,,,,,,,,,,,,,,,,COMPLETE
13,13,0.40843727052248,2024-02-27 08:14:02.394578,2024-02-27 10:02:59.662151,0 days 01:48:57.267573,,,,,,,,,,,,,,,,256.0,True,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,531.0,,,,,,,,,,,,,,,,"[64, 128]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gcn_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,pass_through_standardizer,,,,,,,,False,,,,True,,,False,,COMPLETE
14,14,-inf,2024-02-27 10:02:59.682980,2024-02-27 13:02:59.781431,0 days 03:00:00.098451,,,,,,,,,,,,,,,,16.0,True,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,506.0,,,,,,,,,,,,,,,,"[64, 128]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gcn_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,pass_through_standardizer,,,,,,,,False,,,,True,,,False,,COMPLETE
15,15,,2024-02-27 13:02:59.816352,2024-02-27 14:13:59.047526,0 days 01:10:59.231174,,,,,,,,,,,,,,,,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weave_model,deepchem,,,,,,,,,,,,,,64.0,,,,200.0,,,,,,,,,,,,,,,,,,simple_standardisation,,custom_standardizer,,,,,,,,,,True,,,,,,,FAIL
16,16,,2024-02-27 14:13:59.066655,2024-02-27 15:24:38.414982,0 days 01:10:39.348327,,,,,,,,,,,,,,,,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weave_model,deepchem,,,,,,,,,,,,,,128.0,,,,50.0,,,,,,,,,,,,,,,,,,simple_standardisation,,custom_standardizer,,,,,,,,,,True,,,,,,,FAIL
17,17,-inf,2024-02-27 15:24:38.434552,2024-02-27 18:24:38.922380,0 days 03:00:00.487828,,,,,,,,,,,,,,,,128.0,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[200, 100]",[500],,,,,,,,,,,,,,,,,,,dag_model,deepchem,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,simple_standardisation,,custom_standardizer,,,,,,,,,,,,,,,,,COMPLETE
18,18,-inf,2024-02-27 18:24:38.948990,2024-02-27 21:24:39.206093,0 days 03:00:00.257103,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,657.0,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,smiles_to_vec_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chembl_standardizer,,,2.0,,,,,,,,,,,,,,COMPLETE
19,19,0.3699508697503443,2024-02-27 21:24:39.290571,2024-02-27 22:01:55.026279,0 days 00:37:15.735708,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,111.0,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attentive_fp_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,pass_through_standardizer,,,,,,False,,,,,,,True,,,,COMPLETE
20,20,0.371505074311099,2024-02-27 22:01:55.094460,2024-02-27 22:36:31.345132,0 days 00:34:36.250672,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,137.0,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attentive_fp_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,pass_through_standardizer,,,,,,False,,,,,,,True,,,,COMPLETE
21,21,0.22468322045435718,2024-02-27 22:36:31.404122,2024-02-27 22:55:45.823521,0 days 00:19:14.419399,rdk,,,1.5383376004378513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_from_model_fs,,,,,,,,2048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,1.0,,sklearn,,,,,,,,,909.0,,,,,,,,,,,,,,,,,,,,,,passive_aggressive_regressor_model,,,,,,,pass_through_standardizer,,,,,,,,,,,,,,,,,COMPLETE
22,22,0.3779566908072272,2024-02-27 22:55:45.843845,2024-02-27 23:44:25.955670,0 days 00:48:40.111825,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,396.0,,,,,,,,,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dmpnn_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chembl_standardizer,,,,,,,,,,,,,,,,,COMPLETE
23,23,0.3991210822869541,2024-02-27 23:44:25.977696,2024-02-28 00:37:05.699387,0 days 00:52:39.721691,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,406.0,,,,,,,,,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dmpnn_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chembl_standardizer,,,,,,,,,,,,,,,,,COMPLETE
24,24,0.37353927478349513,2024-02-28 00:37:05.772001,2024-02-28 01:29:07.120028,0 days 00:52:01.348027,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,410.0,,,,,,,,,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dmpnn_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chembl_standardizer,,,,,,,,,,,,,,,,,COMPLETE
25,25,0.3814836045285665,2024-02-28 01:29:07.183965,2024-02-28 02:58:37.678681,0 days 01:29:30.494716,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,631.0,,,,,,,,,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dmpnn_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chembl_standardizer,,,,,,,,,,,,,,,,,COMPLETE
26,26,0.37260737646574366,2024-02-28 02:58:37.706223,2024-02-28 04:51:58.325826,0 days 01:53:20.619603,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,643.0,,,,,,,,,0.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dmpnn_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chembl_standardizer,,,,,,,,,,,,,,,,,COMPLETE
27,27,-inf,2024-02-28 04:51:58.354264,2024-02-28 07:52:00.887232,0 days 03:00:02.532968,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dtnn_model,deepchem,,,,,,75.0,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,chembl_standardizer,,,,,,,,,,,,,,,,,COMPLETE
28,28,0.3066881796109835,2024-02-28 07:52:01.143830,2024-02-28 08:45:34.711588,0 days 00:53:33.567758,,,,,,,,,,,,,,,,512.0,True,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,558.0,,,,,,,,,,,,,,,,"[64, 64]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gcn_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,chembl_standardizer,,,,,,,,True,,,,False,,,False,,COMPLETE
29,29,0.40923846617194437,2024-02-28 08:45:34.733954,2024-02-28 09:40:21.671640,0 days 00:54:46.937686,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,512.0,,,,,,,0.5,,,,,,,,,773.0,,,,,,,,,,,,,,,"[256, 128]",,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,graph_conv_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chembl_standardizer,,,,,,,,,True,,,,,,,,COMPLETE
30,30,-inf,2024-02-28 09:40:21.688956,2024-02-28 09:40:35.178285,0 days 00:00:13.489329,,,keras_bidirectional_rnn,,,,,,,,,,,,,,,,,,,,,,,,,,,tanh,3.1955646748682565e-05,,256.0,,,,,,,,,,,,,,,,,,,2D,,,,,,,,,,,,,,0.01664319980662915,0.4641471556707881,0.08257717061791225,244.0,59.0,48.0,,,,,,,,,,,,,,0.48147195424763656,,,37.0,,,,,,,,,,,,,,,keras,,,,,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
31,31,0.2701079025959194,2024-02-28 09:40:35.192286,2024-02-28 09:51:47.270227,0 days 00:11:12.077941,atom_pair,,,,relu,,0.0054593374855509535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boruta_algorithm,,,,,,,,,,,,,,,,,,,,,,,"(50, 50)",,,,,,,,,,,,,,,,,,50.0,,,,,,,3.0,,,,sklearn,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mlp_regressor_model,,,,,,,basic_standardizer,,,,True,,,,,,,,,,,,,COMPLETE
32,32,0.34998648914415814,2024-02-28 09:51:47.286242,2024-02-28 10:53:39.530329,0 days 01:01:52.244087,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,512.0,,,,,,,0.5,,,,,,,,,804.0,,,,,,,,,,,,,,,"[256, 128]",,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,graph_conv_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simple_standardisation,,custom_standardizer,,,,,,,,,True,,,,,,,,COMPLETE
33,33,-inf,2024-02-28 10:53:39.566185,2024-02-28 13:53:40.185820,0 days 03:00:00.619635,,,,,,,,,,,,,,64.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chem_ception_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chembl_standardizer,,,,,,,,,,,,,,,,,COMPLETE
34,34,-inf,2024-02-28 13:53:40.255162,2024-02-28 13:53:40.463952,0 days 00:00:00.208790,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gat_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chembl_standardizer,,,,,,,True,,,,True,,,False,,,COMPLETE
35,35,0.35724233005237316,2024-02-28 13:53:40.484592,2024-02-28 14:41:22.961446,0 days 00:47:42.476854,,,,,,,,,,,,,,,,128.0,,,,,,,,,,,,,,,,256.0,,,,,,,0.5,,,,,,,,,572.0,,,,,,,,,,,,,,,"[256, 128]",,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,graph_conv_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chembl_standardizer,,,,,,,,,True,,,,,,,,COMPLETE
36,36,,2024-02-28 14:41:23.001796,2024-02-28 16:59:44.045560,0 days 02:18:21.043764,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weave_model,deepchem,,,,,,,,,,,,,,128.0,,,,200.0,,,,,,,,,,,,,,,,,,,,chembl_standardizer,,,,,,,,,,True,,,,,,,FAIL
37,37,-inf,2024-02-28 16:59:44.062291,2024-02-28 19:59:44.203337,0 days 03:00:00.141046,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,pagtn_model,deepchem,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,chembl_standardizer,,,,,,,,,,,,,,,,,COMPLETE
38,38,-inf,2024-02-28 19:59:44.225902,2024-02-28 19:59:44.411110,0 days 00:00:00.185208,maccs,keras_1d_cnn,,,,,,,,,,,,,,,,,,,,relu,relu,True,True,0.1343275903262412,0.5590773639378789,,,relu,,,256.0,,0.3878022055589855,,,,,,,,,,,,,,,,,1D,,8.0,18.0,,,,,0.05033612495093828,,,,,,,,,,,,,,,,,42.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,keras,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,COMPLETE
39,39,,2024-02-28 19:59:44.424772,2024-02-28 21:22:37.301452,0 days 01:22:52.876680,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weave_model,deepchem,,,,,,,,,,,,,,256.0,,,,50.0,,,,,,,,,,,,,,,,,,,,chembl_standardizer,,,,,,,,,,False,,,,,,,FAIL
